iter	Passed	Remaining
0	152	152214
1	157	78399
2	162	53901
3	165	41286
4	169	33726
5	173	28707
6	177	25119
7	180	22408
8	184	20323
9	189	18741
10	193	17373
11	197	16233
12	200	15248
13	205	14452
14	208	13724
15	212	13082
16	216	12524
17	220	12025
18	224	11584
19	228	11182
20	232	10841
21	236	10505
22	240	10209
23	243	9920
24	246	9614
25	248	9327
26	251	9061
27	253	8800
28	255	8556
29	257	8328
30	259	8119
31	261	7918
32	263	7732
33	265	7554
34	267	7373
35	268	7198
36	270	7032
37	271	6874
38	272	6725
39	274	6598
40	276	6477
41	278	6362
42	281	6266
43	283	6162
44	285	6064
45	287	5969
46	289	5876
47	291	5789
48	293	5704
49	296	5629
50	298	5552
51	300	5481
52	302	5409
53	304	5340
54	307	5275
55	309	5221
56	312	5169
57	314	5109
58	317	5056
59	319	5008
60	322	4957
61	324	4912
62	327	4866
63	329	4818
64	331	4768
65	333	4719
66	335	4672
67	337	4626
68	339	4583
69	341	4540
70	343	4496
71	345	4457
72	347	4418
73	349	4378
74	351	4340
75	353	4303
76	355	4266
77	357	4229
78	359	4196
79	361	4161
80	363	4128
81	365	4096
82	367	4056
83	369	4025
84	371	3996
85	373	3967
86	375	3939
87	377	3910
88	379	3883
89	381	3860
90	383	3834
91	385	3808
92	388	3784
93	390	3760
94	392	3735
95	394	3712
96	396	3691
97	398	3668
98	400	3645
99	402	3624
100	404	3602
101	406	3582
102	408	3560
103	410	3540
104	412	3520
105	414	3499
106	417	3482
107	419	3463
108	421	3444
109	423	3425
110	425	3407
111	427	3389
112	429	3371
113	431	3356
114	434	3340
115	436	3322
116	437	3303
117	439	3286
118	441	3270
119	443	3253
120	445	3239
121	447	3221
122	449	3206
123	451	3191
124	453	3176
125	455	3161
126	457	3143
127	459	3130
128	461	3118
129	466	3118
130	468	3105
131	470	3091
132	472	3077
133	474	3066
134	476	3054
135	478	3040
136	480	3028
137	482	3015
138	484	3002
139	486	2990
140	489	2980
141	490	2964
142	492	2952
143	494	2941
144	496	2930
145	498	2918
146	500	2906
147	503	2895
148	505	2884
149	507	2873
150	509	2862
151	511	2851
152	513	2840
153	515	2829
154	517	2821
155	519	2811
156	521	2801
157	523	2790
158	525	2780
159	527	2771
160	529	2757
161	531	2750
162	533	2740
163	535	2731
164	537	2721
165	540	2713
166	542	2703
167	544	2694
168	546	2686
169	548	2678
170	550	2669
171	552	2660
172	554	2652
173	556	2643
174	558	2635
175	560	2626
176	563	2617
177	565	2609
178	567	2601
179	569	2592
180	571	2584
181	573	2576
182	575	2568
183	577	2560
184	579	2552
185	581	2544
186	583	2536
187	585	2529
188	587	2521
189	590	2516
190	594	2518
191	596	2510
192	598	2503
193	600	2495
194	602	2489
195	605	2481
196	606	2474
197	609	2467
198	611	2459
